"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,2.4235325,0.0,0.22489618,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.38170826,0.0,0.18845989,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.19251561,0.0,0.1882235,3.4918364E-7,0.0,0.0,3.5271073E-9,0.0
1.0,6.0,0.10794138,0.0,0.18818422,3.8303875E-7,0.0,0.0,3.8690784E-9,0.0
1.0,8.0,0.027181195,0.0,0.18801966,3.8353448E-7,0.0,0.0,3.874086E-9,0.0
1.0,10.0,0.023930227,0.0,0.18813474,3.8410866E-7,0.0,0.0,3.8798853E-9,0.0
1.0,12.0,0.026220549,0.0,0.21354143,4.3517454E-7,0.0,0.0,4.3957025E-9,2.1142716
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,3.638257,0.0,0.22360985,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.21392067,0.0,0.1904319,7.761564E-6,0.0,0.0,7.839963E-8,0.0
2.0,4.0,0.12321775,0.0,0.187634,1.5302074E-4,0.0,0.0,1.545664E-6,0.0
2.0,6.0,0.06184846,0.0,0.18820174,1.5415384E-4,0.0,0.0,1.5571095E-6,0.0
2.0,8.0,0.017400568,0.0,0.18777728,1.5292063E-4,0.0,0.0,1.544653E-6,0.0
2.0,10.0,0.017001333,0.0,0.18813364,1.5388394E-4,0.0,0.0,1.5543833E-6,0.0
2.0,12.0,0.019810013,0.0,0.21354553,1.7491859E-4,0.0,0.0,1.7668544E-6,2.114742
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,4.4924397,0.0,0.23080033,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.20962465,4.765827E-5,0.20470837,0.001884864,0.0,0.0,1.9039031E-5,0.0
3.0,4.0,0.12425919,0.0,0.18757074,0.042950172,0.0,0.0,4.338401E-4,0.0
3.0,6.0,0.05259857,0.0,0.18770686,0.04263058,0.0,0.0,4.3061192E-4,0.0
3.0,8.0,0.024136847,0.0,0.18782593,0.042753886,0.0,0.0,4.3185742E-4,0.0
3.0,10.0,0.02266706,0.0,0.18800348,0.04279194,0.0,0.0,4.3224182E-4,0.0
3.0,12.0,0.024193738,0.0,0.21355072,0.04866455,0.0,0.0,4.9156114E-4,2.113496
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,4.7770925,0.0,0.2378949,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.16593225,0.0,0.18903266,1.55485E-5,0.0,0.0,1.5705555E-7,0.0
4.0,4.0,0.12750429,0.0,0.19006364,8.269406E-5,0.0,0.0,8.352936E-7,0.0
4.0,6.0,0.05345975,0.0,0.18708807,8.15125E-5,0.0,0.0,8.233586E-7,0.0
4.0,8.0,0.033145923,0.0,0.18794034,8.171622E-5,0.0,0.0,8.254164E-7,0.0
4.0,10.0,0.030639237,0.0,0.18777435,8.1461425E-5,0.0,0.0,8.228427E-7,0.0
4.0,12.0,0.034630913,0.0,0.2135449,9.3144256E-5,0.0,0.0,9.408511E-7,2.1132824
4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,5.5280547,0.0,0.24190305,0.0,0.0,0.0,0.0,0.0
5.0,2.0,0.17644653,0.0,0.18508698,1.2008637E-6,0.0,0.0,1.2129936E-8,0.0
5.0,4.0,0.11845367,0.0,0.20468067,4.86583E-6,0.0,0.0,4.9149797E-8,0.0
5.0,6.0,0.04649066,0.0,0.18699893,4.3955574E-6,0.0,0.0,4.439957E-8,0.0
5.0,8.0,0.036614757,0.0,0.18752132,4.4125286E-6,0.0,0.0,4.4570996E-8,0.0
5.0,10.0,0.035741672,0.0,0.18781304,4.4253793E-6,0.0,0.0,4.47008E-8,0.0
5.0,12.0,0.041030183,0.0,0.2134104,5.0475705E-6,0.0,0.0,5.098556E-8,2.1353707
5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,5.0603538,0.0,0.23803155,0.0,0.0,0.0,0.0,0.0
6.0,2.0,0.18012278,1.0260906E-4,0.1910904,0.012035161,0.0,0.0,1.2156729E-4,0.0
6.0,4.0,0.08301593,1.2800079E-5,0.18868981,0.06346243,0.0,0.0,6.410347E-4,0.0
